onset	duration	sample	value	event_code
0	n/a	0	9999	9999
1.028	n/a	514	video_start	82
164.022	n/a	82011	video_stop	102
164.566	n/a	82283	break cnt	break cnt
192.348	n/a	96174	9999	9999
