onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
80.804	n/a	40402	seqLearning_start	91	n/a	n/a	8
88.104	n/a	44052	learningBlock_1	31	n/a	n/a	8
88.122	n/a	44061	dot_no1_ON	11	n/a	n/a	8
88.678	n/a	44339	dot_no1_OFF	21	n/a	n/a	8
89.992	n/a	44996	dot_no6_ON	16	n/a	n/a	8
90.544	n/a	45272	dot_no6_OFF	26	n/a	n/a	8
91.858	n/a	45929	dot_no4_ON	14	n/a	n/a	8
92.41	n/a	46205	dot_no4_OFF	24	n/a	n/a	8
93.724	n/a	46862	dot_no2_ON	12	n/a	n/a	8
94.276	n/a	47138	dot_no2_OFF	22	n/a	n/a	8
95.59	n/a	47795	dot_no7_ON	17	n/a	n/a	8
96.144	n/a	48072	dot_no7_OFF	27	n/a	n/a	8
97.458	n/a	48729	dot_no3_ON	13	n/a	n/a	8
98.008	n/a	49004	dot_no3_OFF	23	n/a	n/a	8
99.322	n/a	49661	dot_no8_ON	18	n/a	n/a	8
99.872	n/a	49936	dot_no8_OFF	28	n/a	n/a	8
101.186	n/a	50593	dot_no5_ON	15	n/a	n/a	8
101.74	n/a	50870	dot_no5_OFF	25	n/a	n/a	8
103.054	n/a	51527	dot_no2_ON	12	n/a	n/a	8
103.606	n/a	51803	dot_no2_OFF	22	n/a	n/a	8
104.92	n/a	52460	dot_no7_ON	17	n/a	n/a	8
105.47	n/a	52735	dot_no7_OFF	27	1-6-3-4-2-5-7-8-2-7	1-6-4-2-7-3-8-5-2-7	8
165.382	n/a	82691	learningBlock_2	32	n/a	n/a	8
165.39	n/a	82695	dot_no1_ON	11	n/a	n/a	8
165.942	n/a	82971	dot_no1_OFF	21	n/a	n/a	8
167.256	n/a	83628	dot_no6_ON	16	n/a	n/a	8
167.808	n/a	83904	dot_no6_OFF	26	n/a	n/a	8
169.122	n/a	84561	dot_no4_ON	14	n/a	n/a	8
169.674	n/a	84837	dot_no4_OFF	24	n/a	n/a	8
170.988	n/a	85494	dot_no2_ON	12	n/a	n/a	8
171.54	n/a	85770	dot_no2_OFF	22	n/a	n/a	8
172.854	n/a	86427	dot_no7_ON	17	n/a	n/a	8
173.406	n/a	86703	dot_no7_OFF	27	n/a	n/a	8
174.722	n/a	87361	dot_no3_ON	13	n/a	n/a	8
175.274	n/a	87637	dot_no3_OFF	23	n/a	n/a	8
176.588	n/a	88294	dot_no8_ON	18	n/a	n/a	8
177.138	n/a	88569	dot_no8_OFF	28	n/a	n/a	8
178.454	n/a	89227	dot_no5_ON	15	n/a	n/a	8
179.006	n/a	89503	dot_no5_OFF	25	n/a	n/a	8
180.32	n/a	90160	dot_no2_ON	12	n/a	n/a	8
180.872	n/a	90436	dot_no2_OFF	22	n/a	n/a	8
182.186	n/a	91093	dot_no7_ON	17	n/a	n/a	8
182.74	n/a	91370	dot_no7_OFF	27	1-6-8-3-4-2-1-5-7-4	1-6-4-2-7-3-8-5-2-7	8
220.6	n/a	110300	learningBlock_3	33	n/a	n/a	8
220.608	n/a	110304	dot_no1_ON	11	n/a	n/a	8
221.162	n/a	110581	dot_no1_OFF	21	n/a	n/a	8
222.476	n/a	111238	dot_no6_ON	16	n/a	n/a	8
223.028	n/a	111514	dot_no6_OFF	26	n/a	n/a	8
224.342	n/a	112171	dot_no4_ON	14	n/a	n/a	8
224.898	n/a	112449	dot_no4_OFF	24	n/a	n/a	8
226.212	n/a	113106	dot_no2_ON	12	n/a	n/a	8
226.764	n/a	113382	dot_no2_OFF	22	n/a	n/a	8
228.078	n/a	114039	dot_no7_ON	17	n/a	n/a	8
228.63	n/a	114315	dot_no7_OFF	27	n/a	n/a	8
229.944	n/a	114972	dot_no3_ON	13	n/a	n/a	8
230.494	n/a	115247	dot_no3_OFF	23	n/a	n/a	8
231.808	n/a	115904	dot_no8_ON	18	n/a	n/a	8
232.36	n/a	116180	dot_no8_OFF	28	n/a	n/a	8
233.674	n/a	116837	dot_no5_ON	15	n/a	n/a	8
234.226	n/a	117113	dot_no5_OFF	25	n/a	n/a	8
235.54	n/a	117770	dot_no2_ON	12	n/a	n/a	8
236.094	n/a	118047	dot_no2_OFF	22	n/a	n/a	8
237.408	n/a	118704	dot_no7_ON	17	n/a	n/a	8
237.96	n/a	118980	dot_no7_OFF	27	1-6-1-4-2-3-5-8-7-4	1-6-4-2-7-3-8-5-2-7	8
263.782	n/a	131891	learningBlock_4	34	n/a	n/a	8
263.788	n/a	131894	dot_no1_ON	11	n/a	n/a	8
264.342	n/a	132171	dot_no1_OFF	21	n/a	n/a	8
265.656	n/a	132828	dot_no6_ON	16	n/a	n/a	8
266.208	n/a	133104	dot_no6_OFF	26	n/a	n/a	8
267.522	n/a	133761	dot_no4_ON	14	n/a	n/a	8
268.076	n/a	134038	dot_no4_OFF	24	n/a	n/a	8
269.388	n/a	134694	dot_no2_ON	12	n/a	n/a	8
269.94	n/a	134970	dot_no2_OFF	22	n/a	n/a	8
271.256	n/a	135628	dot_no7_ON	17	n/a	n/a	8
271.81	n/a	135905	dot_no7_OFF	27	n/a	n/a	8
273.122	n/a	136561	dot_no3_ON	13	n/a	n/a	8
273.674	n/a	136837	dot_no3_OFF	23	n/a	n/a	8
274.988	n/a	137494	dot_no8_ON	18	n/a	n/a	8
275.54	n/a	137770	dot_no8_OFF	28	n/a	n/a	8
276.854	n/a	138427	dot_no5_ON	15	n/a	n/a	8
277.408	n/a	138704	dot_no5_OFF	25	n/a	n/a	8
278.72	n/a	139360	dot_no2_ON	12	n/a	n/a	8
279.272	n/a	139636	dot_no2_OFF	22	n/a	n/a	8
280.586	n/a	140293	dot_no7_ON	17	n/a	n/a	8
281.138	n/a	140569	dot_no7_OFF	27	1-6-4-2-5-3-8-7-2-3	1-6-4-2-7-3-8-5-2-7	8
309.746	n/a	154873	learningBlock_5	35	n/a	n/a	8
309.752	n/a	154876	dot_no1_ON	11	n/a	n/a	8
310.304	n/a	155152	dot_no1_OFF	21	n/a	n/a	8
311.618	n/a	155809	dot_no6_ON	16	n/a	n/a	8
312.17	n/a	156085	dot_no6_OFF	26	n/a	n/a	8
313.484	n/a	156742	dot_no4_ON	14	n/a	n/a	8
314.034	n/a	157017	dot_no4_OFF	24	n/a	n/a	8
315.35	n/a	157675	dot_no2_ON	12	n/a	n/a	8
315.9	n/a	157950	dot_no2_OFF	22	n/a	n/a	8
317.214	n/a	158607	dot_no7_ON	17	n/a	n/a	8
317.766	n/a	158883	dot_no7_OFF	27	n/a	n/a	8
319.08	n/a	159540	dot_no3_ON	13	n/a	n/a	8
319.634	n/a	159817	dot_no3_OFF	23	n/a	n/a	8
320.948	n/a	160474	dot_no8_ON	18	n/a	n/a	8
321.506	n/a	160753	dot_no8_OFF	28	n/a	n/a	8
322.818	n/a	161409	dot_no5_ON	15	n/a	n/a	8
323.37	n/a	161685	dot_no5_OFF	25	n/a	n/a	8
324.684	n/a	162342	dot_no2_ON	12	n/a	n/a	8
325.236	n/a	162618	dot_no2_OFF	22	n/a	n/a	8
326.55	n/a	163275	dot_no7_ON	17	n/a	n/a	8
327.104	n/a	163552	dot_no7_OFF	27	1-6-4-2-8-3-5-7-1-3	1-6-4-2-7-3-8-5-2-7	8
347.702	n/a	173851	seqLearning_stop	50	n/a	n/a	8
351.005	n/a	175502.5	boundary	boundary	n/a	n/a	8
