onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
74.088	n/a	37044	seqLearning_start	91	n/a	n/a	8
83.422	n/a	41711	learningBlock_1	31	n/a	n/a	8
83.44	n/a	41720	dot_no1_ON	11	n/a	n/a	8
84.03	n/a	42015	dot_no1_OFF	21	n/a	n/a	8
85.35	n/a	42675	dot_no6_ON	16	n/a	n/a	8
85.938	n/a	42969	dot_no6_OFF	26	n/a	n/a	8
87.26	n/a	43630	dot_no4_ON	14	n/a	n/a	8
87.848	n/a	43924	dot_no4_OFF	24	n/a	n/a	8
89.17	n/a	44585	dot_no2_ON	12	n/a	n/a	8
89.76	n/a	44880	dot_no2_OFF	22	n/a	n/a	8
91.08	n/a	45540	dot_no7_ON	17	n/a	n/a	8
91.668	n/a	45834	dot_no7_OFF	27	n/a	n/a	8
92.99	n/a	46495	dot_no3_ON	13	n/a	n/a	8
93.58	n/a	46790	dot_no3_OFF	23	n/a	n/a	8
94.9	n/a	47450	dot_no8_ON	18	n/a	n/a	8
95.49	n/a	47745	dot_no8_OFF	28	n/a	n/a	8
96.81	n/a	48405	dot_no5_ON	15	n/a	n/a	8
97.398	n/a	48699	dot_no5_OFF	25	n/a	n/a	8
98.72	n/a	49360	dot_no2_ON	12	n/a	n/a	8
99.31	n/a	49655	dot_no2_OFF	22	n/a	n/a	8
100.63	n/a	50315	dot_no7_ON	17	n/a	n/a	8
101.218	n/a	50609	dot_no7_OFF	27	1-6-5-3-1-7-4-8-2-7	1-6-4-2-7-3-8-5-2-7	8
146.902	n/a	73451	learningBlock_2	32	n/a	n/a	8
146.91	n/a	73455	dot_no1_ON	11	n/a	n/a	8
147.498	n/a	73749	dot_no1_OFF	21	n/a	n/a	8
148.82	n/a	74410	dot_no6_ON	16	n/a	n/a	8
149.408	n/a	74704	dot_no6_OFF	26	n/a	n/a	8
150.73	n/a	75365	dot_no4_ON	14	n/a	n/a	8
