onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
42.74	n/a	21370	seqLearning_start	91	n/a	n/a	8
52.074	n/a	26037	learningBlock_1	31	n/a	n/a	8
52.09	n/a	26045	dot_no1_ON	11	n/a	n/a	8
52.68	n/a	26340	dot_no1_OFF	21	n/a	n/a	8
54	n/a	27000	dot_no6_ON	16	n/a	n/a	8
54.59	n/a	27295	dot_no6_OFF	26	n/a	n/a	8
55.91	n/a	27955	dot_no4_ON	14	n/a	n/a	8
56.5	n/a	28250	dot_no4_OFF	24	n/a	n/a	8
57.82	n/a	28910	dot_no2_ON	12	n/a	n/a	8
58.41	n/a	29205	dot_no2_OFF	22	n/a	n/a	8
59.73	n/a	29865	dot_no7_ON	17	n/a	n/a	8
60.32	n/a	30160	dot_no7_OFF	27	n/a	n/a	8
61.64	n/a	30820	dot_no3_ON	13	n/a	n/a	8
62.23	n/a	31115	dot_no3_OFF	23	n/a	n/a	8
63.55	n/a	31775	dot_no8_ON	18	n/a	n/a	8
64.14	n/a	32070	dot_no8_OFF	28	n/a	n/a	8
65.46	n/a	32730	dot_no5_ON	15	n/a	n/a	8
66.05	n/a	33025	dot_no5_OFF	25	n/a	n/a	8
67.37	n/a	33685	dot_no2_ON	12	n/a	n/a	8
67.96	n/a	33980	dot_no2_OFF	22	n/a	n/a	8
69.28	n/a	34640	dot_no7_ON	17	n/a	n/a	8
69.87	n/a	34935	dot_no7_OFF	27	6-4-3-5-2-8-1-7-5-3	1-6-4-2-7-3-8-5-2-7	8
141.386	n/a	70693	learningBlock_2	32	n/a	n/a	8
141.4	n/a	70700	dot_no1_ON	11	n/a	n/a	8
141.99	n/a	70995	dot_no1_OFF	21	n/a	n/a	8
143.31	n/a	71655	dot_no6_ON	16	n/a	n/a	8
143.9	n/a	71950	dot_no6_OFF	26	n/a	n/a	8
145.22	n/a	72610	dot_no4_ON	14	n/a	n/a	8
145.81	n/a	72905	dot_no4_OFF	24	n/a	n/a	8
147.13	n/a	73565	dot_no2_ON	12	n/a	n/a	8
147.72	n/a	73860	dot_no2_OFF	22	n/a	n/a	8
149.04	n/a	74520	dot_no7_ON	17	n/a	n/a	8
149.63	n/a	74815	dot_no7_OFF	27	n/a	n/a	8
150.95	n/a	75475	dot_no3_ON	13	n/a	n/a	8
151.54	n/a	75770	dot_no3_OFF	23	n/a	n/a	8
152.862	n/a	76431	dot_no8_ON	18	n/a	n/a	8
153.45	n/a	76725	dot_no8_OFF	28	n/a	n/a	8
154.772	n/a	77386	dot_no5_ON	15	n/a	n/a	8
155.36	n/a	77680	dot_no5_OFF	25	n/a	n/a	8
156.682	n/a	78341	dot_no2_ON	12	n/a	n/a	8
157.27	n/a	78635	dot_no2_OFF	22	n/a	n/a	8
158.592	n/a	79296	dot_no7_ON	17	n/a	n/a	8
159.18	n/a	79590	dot_no7_OFF	27	6-4-2-8-7-4-3-7-3-1	1-6-4-2-7-3-8-5-2-7	8
197.776	n/a	98888	learningBlock_3	33	n/a	n/a	8
197.79	n/a	98895	dot_no1_ON	11	n/a	n/a	8
198.38	n/a	99190	dot_no1_OFF	21	n/a	n/a	8
199.702	n/a	99851	dot_no6_ON	16	n/a	n/a	8
200.29	n/a	100145	dot_no6_OFF	26	n/a	n/a	8
201.612	n/a	100806	dot_no4_ON	14	n/a	n/a	8
202.2	n/a	101100	dot_no4_OFF	24	n/a	n/a	8
203.522	n/a	101761	dot_no2_ON	12	n/a	n/a	8
204.11	n/a	102055	dot_no2_OFF	22	n/a	n/a	8
205.432	n/a	102716	dot_no7_ON	17	n/a	n/a	8
206.022	n/a	103011	dot_no7_OFF	27	n/a	n/a	8
207.34	n/a	103670	dot_no3_ON	13	n/a	n/a	8
207.93	n/a	103965	dot_no3_OFF	23	n/a	n/a	8
209.252	n/a	104626	dot_no8_ON	18	n/a	n/a	8
209.84	n/a	104920	dot_no8_OFF	28	n/a	n/a	8
211.162	n/a	105581	dot_no5_ON	15	n/a	n/a	8
211.75	n/a	105875	dot_no5_OFF	25	n/a	n/a	8
213.072	n/a	106536	dot_no2_ON	12	n/a	n/a	8
213.66	n/a	106830	dot_no2_OFF	22	n/a	n/a	8
214.982	n/a	107491	dot_no7_ON	17	n/a	n/a	8
215.57	n/a	107785	dot_no7_OFF	27	7-3-2-8-4-3-1-6-5-7	1-6-4-2-7-3-8-5-2-7	8
263.668	n/a	131834	learningBlock_4	34	n/a	n/a	8
263.682	n/a	131841	dot_no1_ON	11	n/a	n/a	8
264.27	n/a	132135	dot_no1_OFF	21	n/a	n/a	8
265.592	n/a	132796	dot_no6_ON	16	n/a	n/a	8
266.18	n/a	133090	dot_no6_OFF	26	n/a	n/a	8
267.502	n/a	133751	dot_no4_ON	14	n/a	n/a	8
268.09	n/a	134045	dot_no4_OFF	24	n/a	n/a	8
269.412	n/a	134706	dot_no2_ON	12	n/a	n/a	8
270	n/a	135000	dot_no2_OFF	22	n/a	n/a	8
271.322	n/a	135661	dot_no7_ON	17	n/a	n/a	8
271.91	n/a	135955	dot_no7_OFF	27	n/a	n/a	8
273.232	n/a	136616	dot_no3_ON	13	n/a	n/a	8
273.82	n/a	136910	dot_no3_OFF	23	n/a	n/a	8
275.142	n/a	137571	dot_no8_ON	18	n/a	n/a	8
275.73	n/a	137865	dot_no8_OFF	28	n/a	n/a	8
277.052	n/a	138526	dot_no5_ON	15	n/a	n/a	8
277.642	n/a	138821	dot_no5_OFF	25	n/a	n/a	8
278.962	n/a	139481	dot_no2_ON	12	n/a	n/a	8
279.55	n/a	139775	dot_no2_OFF	22	n/a	n/a	8
280.872	n/a	140436	dot_no7_ON	17	n/a	n/a	8
281.46	n/a	140730	dot_no7_OFF	27	1-6-3-8-7-2-4-5-7-8	1-6-4-2-7-3-8-5-2-7	8
329.03	n/a	164515	learningBlock_5	35	n/a	n/a	8
329.042	n/a	164521	dot_no1_ON	11	n/a	n/a	8
329.63	n/a	164815	dot_no1_OFF	21	n/a	n/a	8
330.952	n/a	165476	dot_no6_ON	16	n/a	n/a	8
331.54	n/a	165770	dot_no6_OFF	26	n/a	n/a	8
332.862	n/a	166431	dot_no4_ON	14	n/a	n/a	8
333.45	n/a	166725	dot_no4_OFF	24	n/a	n/a	8
334.772	n/a	167386	dot_no2_ON	12	n/a	n/a	8
335.362	n/a	167681	dot_no2_OFF	22	n/a	n/a	8
336.682	n/a	168341	dot_no7_ON	17	n/a	n/a	8
337.27	n/a	168635	dot_no7_OFF	27	n/a	n/a	8
338.592	n/a	169296	dot_no3_ON	13	n/a	n/a	8
339.182	n/a	169591	dot_no3_OFF	23	n/a	n/a	8
340.502	n/a	170251	dot_no8_ON	18	n/a	n/a	8
341.09	n/a	170545	dot_no8_OFF	28	n/a	n/a	8
342.412	n/a	171206	dot_no5_ON	15	n/a	n/a	8
343	n/a	171500	dot_no5_OFF	25	n/a	n/a	8
344.322	n/a	172161	dot_no2_ON	12	n/a	n/a	8
344.91	n/a	172455	dot_no2_OFF	22	n/a	n/a	8
346.232	n/a	173116	dot_no7_ON	17	n/a	n/a	8
346.82	n/a	173410	dot_no7_OFF	27	1-6-4-8-3-7-5-2-7-3	1-6-4-2-7-3-8-5-2-7	8
