onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
0	n/a	0	break cnt	break cnt	n/a	n/a	8
27.902	n/a	13951	seqLearning_start	91	n/a	n/a	8
34.186	n/a	17093	learningBlock_1	31	n/a	n/a	8
34.218	n/a	17109	dot_no1_ON	11	n/a	n/a	8
34.806	n/a	17403	dot_no1_OFF	21	n/a	n/a	8
36.126	n/a	18063	dot_no6_ON	16	n/a	n/a	8
36.706	n/a	18353	dot_no6_OFF	26	n/a	n/a	8
38.026	n/a	19013	dot_no4_ON	14	n/a	n/a	8
38.606	n/a	19303	dot_no4_OFF	24	n/a	n/a	8
39.926	n/a	19963	dot_no2_ON	12	n/a	n/a	8
40.506	n/a	20253	dot_no2_OFF	22	n/a	n/a	8
41.826	n/a	20913	dot_no7_ON	17	n/a	n/a	8
42.406	n/a	21203	dot_no7_OFF	27	n/a	n/a	8
43.726	n/a	21863	dot_no3_ON	13	n/a	n/a	8
44.306	n/a	22153	dot_no3_OFF	23	n/a	n/a	8
45.626	n/a	22813	dot_no8_ON	18	n/a	n/a	8
46.216	n/a	23108	dot_no8_OFF	28	n/a	n/a	8
47.536	n/a	23768	dot_no5_ON	15	n/a	n/a	8
48.116	n/a	24058	dot_no5_OFF	25	n/a	n/a	8
49.436	n/a	24718	dot_no2_ON	12	n/a	n/a	8
50.016	n/a	25008	dot_no2_OFF	22	n/a	n/a	8
51.336	n/a	25668	dot_no7_ON	17	n/a	n/a	8
51.916	n/a	25958	dot_no7_OFF	27	1-6-4-2-7-5-8-3-3-2	1-6-4-2-7-3-8-5-2-7	8
111.188	n/a	55594	learningBlock_2	32	n/a	n/a	8
111.194	n/a	55597	dot_no1_ON	11	n/a	n/a	8
111.774	n/a	55887	dot_no1_OFF	21	n/a	n/a	8
113.094	n/a	56547	dot_no6_ON	16	n/a	n/a	8
113.674	n/a	56837	dot_no6_OFF	26	n/a	n/a	8
114.994	n/a	57497	dot_no4_ON	14	n/a	n/a	8
115.574	n/a	57787	dot_no4_OFF	24	n/a	n/a	8
116.894	n/a	58447	dot_no2_ON	12	n/a	n/a	8
117.474	n/a	58737	dot_no2_OFF	22	n/a	n/a	8
118.794	n/a	59397	dot_no7_ON	17	n/a	n/a	8
119.374	n/a	59687	dot_no7_OFF	27	n/a	n/a	8
120.694	n/a	60347	dot_no3_ON	13	n/a	n/a	8
121.274	n/a	60637	dot_no3_OFF	23	n/a	n/a	8
122.594	n/a	61297	dot_no8_ON	18	n/a	n/a	8
123.174	n/a	61587	dot_no8_OFF	28	n/a	n/a	8
124.494	n/a	62247	dot_no5_ON	15	n/a	n/a	8
125.074	n/a	62537	dot_no5_OFF	25	n/a	n/a	8
126.394	n/a	63197	dot_no2_ON	12	n/a	n/a	8
126.974	n/a	63487	dot_no2_OFF	22	n/a	n/a	8
128.294	n/a	64147	dot_no7_ON	17	n/a	n/a	8
128.874	n/a	64437	dot_no7_OFF	27	1-6-4-2-7-3-8-5-2-7	1-6-4-2-7-3-8-5-2-7	8
167.076	n/a	83538	learningBlock_3	33	n/a	n/a	8
167.084	n/a	83542	dot_no1_ON	11	n/a	n/a	8
167.664	n/a	83832	dot_no1_OFF	21	n/a	n/a	8
